"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","V Pipe0 [M05_5m_001]","V Pipe1 [M05_5m_001]","V Pipe10 [M05_5m_001]","V Pipe11 [M05_5m_001]","V Pipe12 [M05_5m_001]","V Pipe13 [M05_5m_001]","V Pipe14 [M05_5m_001]","V Pipe15 [M05_5m_001]","V Pipe16 [M05_5m_001]","V Pipe17 [M05_5m_001]","V Pipe19 [M05_5m_001]","V Pipe2 [M05_5m_001]","V Pipe3 [M05_5m_001]","V Pipe4 [M05_5m_001]","V Pipe5 [M05_5m_001]","V Pipe6 [M05_5m_001]","V Pipe7 [M05_5m_001]","V Pipe8 [M05_5m_001]","V Pipe9 [M05_5m_001]","V Pit1 [M05_5m_001]","V Pit10 [M05_5m_001]","V Pit11 [M05_5m_001]","V Pit12 [M05_5m_001]","V Pit13 [M05_5m_001]","V Pit14 [M05_5m_001]","V Pit15 [M05_5m_001]","V Pit16 [M05_5m_001]","V Pit17 [M05_5m_001]","V Pit18 [M05_5m_001]","V Pit19 [M05_5m_001]","V Pit2 [M05_5m_001]","V Pit3 [M05_5m_001]","V Pit4 [M05_5m_001]","V Pit5 [M05_5m_001]","V Pit6 [M05_5m_001]","V Pit7 [M05_5m_001]","V Pit8 [M05_5m_001]","V Pit9 [M05_5m_001]"
     129,          2.133333,    0.708,    0.846,    1.134,    0.937,    1.156,    1.039,    1.218,    1.103,    1.333,    1.238,    1.033,    0.594,    0.595,    0.206,    1.057,    1.080,    0.834,    1.031,    1.112,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.804,    0.831,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     130,          2.150000,    0.710,    0.849,    1.138,    0.939,    1.160,    1.043,    1.222,    1.107,    1.341,    1.242,    1.036,    0.596,    0.597,    0.207,    1.060,    1.084,    0.836,    1.034,    1.115,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.801,    0.827,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     131,          2.166667,    0.711,    0.639,    1.142,    0.941,    1.164,    1.048,    1.227,    1.110,    1.349,    1.247,    1.039,    0.597,    0.598,    0.209,    1.063,    1.087,    0.838,    1.037,    1.119,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.797,    0.824,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     132,          2.183333,    0.713,    0.644,    1.146,    0.943,    1.168,    1.052,    1.231,    1.114,    1.357,    1.252,    1.042,    0.598,    0.600,    0.210,    1.066,    1.090,    0.840,    1.040,    1.123,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.794,    0.821,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     133,          2.200000,    0.715,    0.860,    1.150,    0.945,    1.172,    1.057,    1.236,    1.117,    1.365,    1.256,    1.045,    0.600,    0.601,    0.211,    1.070,    1.094,    0.842,    1.043,    1.127,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.790,    0.817,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     134,          2.216667,    0.717,    0.651,    1.154,    0.947,    1.176,    1.061,    1.240,    1.121,    1.362,    1.261,    1.049,    0.601,    0.602,    0.210,    1.073,    1.098,    0.844,    1.046,    1.130,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.787,    0.814,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     135,          2.233333,    0.719,    0.657,    1.158,    0.949,    1.180,    1.066,    1.245,    1.125,    1.355,    1.266,    1.052,    0.603,    0.604,    0.211,    1.077,    1.101,    0.845,    1.049,    1.134,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.784,    0.811,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     136,          2.250000,    0.721,    0.659,    1.162,    0.951,    1.184,    1.070,    1.249,    1.128,    1.347,    1.270,    1.055,    0.604,    0.605,    0.211,    1.080,    1.105,    0.847,    1.052,    1.138,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.781,    0.808,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     137,          2.266667,    0.719,    0.657,    1.163,    0.952,    1.187,    1.074,    1.253,    1.131,    1.338,    1.274,    1.057,    0.602,    0.604,    0.213,    1.082,    1.107,    0.846,    1.052,    1.138,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.783,    0.812,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     138,          2.283334,    0.716,    0.653,    1.160,    0.950,    1.185,    1.073,    1.253,    1.131,    1.332,    1.275,    1.054,    0.600,    0.602,    0.214,    1.081,    1.107,    0.842,    1.048,    1.134,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.787,    0.817,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     139,          2.300000,    0.712,    0.649,    1.155,    0.947,    1.180,    1.068,    1.250,    1.128,    1.330,    1.272,    1.050,    0.597,    0.600,    0.213,    1.077,    1.103,    0.839,    1.043,    1.129,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.792,    0.823,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     140,          2.316667,    0.709,    0.646,    1.149,    0.943,    1.173,    1.062,    1.244,    1.123,    1.326,    1.267,    1.045,    0.595,    0.597,    0.212,    1.072,    1.098,    0.835,    1.038,    1.122,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.797,    0.830,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     141,          2.333333,    0.706,    0.639,    1.142,    0.940,    1.166,    1.054,    1.237,    1.118,    1.320,    1.260,    1.040,    0.592,    0.595,    0.211,    1.067,    1.093,    0.832,    1.032,    1.116,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.804,    0.836,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     142,          2.350000,    0.702,    0.632,    1.135,    0.937,    1.160,    1.047,    1.230,    1.112,    1.313,    1.252,    1.034,    0.590,    0.592,    0.210,    1.061,    1.087,    0.828,    1.027,    1.110,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.810,    0.843,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     143,          2.366667,    0.699,    0.839,    1.129,    0.933,    1.153,    1.039,    1.222,    1.105,    1.306,    1.244,    1.028,    0.587,    0.589,    0.209,    1.055,    1.081,    0.824,    1.021,    1.103,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.817,    0.851,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     144,          2.383333,    0.696,    0.833,    1.122,    0.930,    1.146,    1.031,    1.215,    1.099,    1.299,    1.236,    1.022,    0.585,    0.587,    0.207,    1.048,    1.075,    0.820,    1.015,    1.096,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.825,    0.859,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     145,          2.400000,    0.692,    0.828,    1.115,    0.926,    1.138,    1.023,    1.207,    1.092,    1.291,    1.228,    1.016,    0.582,    0.584,    0.206,    1.042,    1.068,    0.817,    1.009,    1.089,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.833,    0.867,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     146,          2.416667,    0.689,    0.824,    1.107,    0.923,    1.131,    1.014,    1.199,    1.085,    1.284,    1.220,    1.009,    0.579,    0.581,    0.205,    1.036,    1.062,    0.813,    1.003,    1.082,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.842,    0.876,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     147,          2.433333,    0.685,    0.819,    1.100,    0.919,    1.123,    1.006,    1.190,    1.078,    1.277,    1.211,    1.003,    0.576,    0.579,    0.203,    1.029,    1.055,    0.809,    0.997,    1.075,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.851,    0.886,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     148,          2.450000,    0.681,    0.814,    1.092,    0.916,    1.115,    0.997,    1.182,    1.071,    1.269,    1.203,    0.997,    0.574,    0.576,    0.202,    1.023,    1.048,    0.805,    0.991,    1.068,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.861,    0.896,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     149,          2.466667,    0.678,    0.810,    1.085,    0.912,    1.108,    0.989,    1.174,    1.064,    1.261,    1.194,    0.990,    0.571,    0.573,    0.200,    1.016,    1.041,    0.801,    0.985,    1.061,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.872,    0.907,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     150,          2.483333,    0.674,    0.805,    1.077,    0.909,    1.100,    0.980,    1.165,    1.057,    1.253,    1.185,    0.984,    0.568,    0.570,    0.199,    1.010,    1.035,    0.796,    0.979,    1.053,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.883,    0.919,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     151,          2.500000,    0.670,    0.800,    1.070,    0.905,    1.092,    0.972,    1.157,    1.050,    1.245,    1.176,    0.978,    0.565,    0.567,    0.198,    1.003,    1.028,    0.792,    0.972,    1.046,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.895,    0.931,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     152,          2.516667,    0.667,    0.796,    1.063,    0.902,    1.085,    0.964,    1.149,    1.044,    1.237,    1.168,    0.972,    0.563,    0.565,    0.196,    0.997,    1.021,    0.789,    0.967,    1.040,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.905,    0.940,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     153,          2.533334,    0.665,    0.793,    1.057,    0.899,    1.079,    0.957,    1.141,    1.037,    1.230,    1.160,    0.967,    0.561,    0.563,    0.195,    0.992,    1.016,    0.786,    0.963,    1.034,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.914,    0.949,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     154,          2.550000,    0.663,    0.790,    1.052,    0.897,    1.073,    0.951,    1.134,    1.032,    1.223,    1.154,    0.963,    0.559,    0.561,    0.194,    0.987,    1.010,    0.783,    0.959,    1.029,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.924,    0.958,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     155,          2.566667,    0.660,    0.787,    1.047,    0.895,    1.068,    0.945,    1.128,    1.027,    1.217,    1.147,    0.959,    0.558,    0.559,    0.193,    0.982,    1.005,    0.780,    0.955,    1.025,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.934,    0.968,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     156,          2.583333,    0.658,    0.784,    1.042,    0.884,    1.063,    1.023,    1.119,    1.022,    1.211,    1.139,    0.955,    0.556,    0.557,    0.192,    0.978,    1.001,    0.777,    0.950,    1.020,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.944,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     157,          2.600000,    0.655,    0.781,    1.037,    0.878,    1.058,    1.020,    1.115,    1.017,    1.204,    1.133,    0.950,    0.553,    0.555,    0.191,    0.973,    0.996,    0.774,    0.946,    1.015,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.955,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     158,          2.616667,    0.653,    0.778,    1.032,    0.875,    1.052,    1.015,    1.110,    1.012,    1.199,    1.128,    0.946,    0.551,    0.553,    0.190,    0.969,    0.992,    0.771,    0.942,    1.010,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.966,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     159,          2.633333,    0.650,    0.774,    1.026,    0.878,    1.047,    1.087,    1.106,    1.007,    1.195,    1.124,    0.942,    0.549,    0.551,    0.189,    0.964,    0.987,    0.768,    0.937,    1.005,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     160,          2.650000,    0.648,    0.771,    1.021,    0.873,    1.042,    1.081,    1.099,    1.003,    1.189,    1.117,    0.937,    0.547,    0.549,    0.188,    0.960,    0.982,    0.765,    0.933,    1.000,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     161,          2.666667,    0.645,    0.768,    1.016,    0.868,    1.036,    1.075,    1.093,    0.998,    1.183,    1.111,    0.933,    0.545,    0.547,    0.187,    0.955,    0.978,    0.762,    0.928,    0.995,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     162,          2.683333,    0.642,    0.765,    1.011,    0.863,    1.031,    1.069,    1.087,    0.993,    1.177,    1.105,    0.929,    0.543,    0.545,    0.186,    0.951,    0.973,    0.759,    0.924,    0.990,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     163,          2.700000,    0.640,    0.761,    1.006,    0.858,    1.026,    1.064,    1.081,    0.988,    1.172,    1.099,    0.924,    0.541,    0.543,    0.185,    0.946,    0.968,    0.755,    0.919,    0.985,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     164,          2.716667,    0.637,    0.758,    1.000,    0.853,    1.020,    1.058,    1.075,    0.983,    1.166,    1.093,    0.920,    0.539,    0.541,    0.184,    0.942,    0.963,    0.752,    0.915,    0.979,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     165,          2.733334,    0.634,    0.755,    0.995,    0.848,    1.015,    1.052,    1.070,    0.978,    1.160,    1.087,    0.915,    0.537,    0.539,    0.184,    0.937,    0.959,    0.749,    0.910,    0.974,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     166,          2.750000,    0.632,    0.751,    0.990,    0.843,    1.009,    1.046,    1.064,    0.973,    1.155,    1.081,    0.911,    0.534,    0.537,    0.183,    0.932,    0.954,    0.746,    0.906,    0.969,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     167,          2.766667,    0.629,    0.748,    0.985,    0.838,    1.004,    1.041,    1.058,    0.969,    1.149,    1.075,    0.907,    0.533,    0.535,    0.182,    0.928,    0.949,    0.743,    0.902,    0.965,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     168,          2.783334,    0.627,    0.745,    0.980,    0.833,    0.999,    1.035,    1.052,    0.964,    1.144,    1.069,    0.903,    0.531,    0.533,    0.181,    0.924,    0.945,    0.740,    0.898,    0.960,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     169,          2.800000,    0.625,    0.742,    0.976,    0.828,    0.994,    1.030,    1.047,    0.960,    1.139,    1.064,    0.899,    0.529,    0.531,    0.180,    0.920,    0.941,    0.737,    0.894,    0.956,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     170,          2.816667,    0.622,    0.740,    0.971,    0.825,    0.990,    1.025,    1.042,    0.956,    1.134,    1.058,    0.895,    0.527,    0.529,    0.179,    0.916,    0.937,    0.734,    0.890,    0.952,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     171,          2.833333,    0.620,    0.737,    0.967,    0.820,    0.985,    1.020,    1.037,    0.952,    1.129,    1.053,    0.891,    0.525,    0.527,    0.179,    0.912,    0.933,    0.732,    0.886,    0.948,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     172,          2.850000,    0.618,    0.734,    0.963,    0.816,    0.981,    1.016,    1.032,    0.948,    1.124,    1.048,    0.888,    0.523,    0.526,    0.178,    0.908,    0.929,    0.729,    0.883,    0.943,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     173,          2.866667,    0.615,    0.731,    0.958,    0.812,    0.976,    1.011,    1.027,    0.943,    1.119,    1.043,    0.884,    0.522,    0.524,    0.177,    0.904,    0.925,    0.726,    0.879,    0.939,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     174,          2.883333,    0.613,    0.728,    0.954,    0.808,    0.972,    1.006,    1.022,    0.939,    1.114,    1.038,    0.880,    0.520,    0.522,    0.176,    0.900,    0.921,    0.723,    0.875,    0.935,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     175,          2.900000,    0.611,    0.725,    0.949,    0.803,    0.967,    1.001,    1.017,    0.935,    1.109,    1.033,    0.876,    0.518,    0.520,    0.175,    0.896,    0.917,    0.720,    0.871,    0.930,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     176,          2.916667,    0.608,    0.722,    0.945,    0.799,    0.962,    0.996,    1.012,    0.931,    1.104,    1.027,    0.872,    0.516,    0.518,    0.174,    0.892,    0.913,    0.717,    0.867,    0.926,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     177,          2.933333,    0.606,    0.719,    0.940,    0.795,    0.958,    0.991,    1.007,    0.926,    1.099,    1.022,    0.868,    0.514,    0.516,    0.174,    0.888,    0.908,    0.714,    0.863,    0.921,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     178,          2.950000,    0.603,    0.716,    0.935,    0.790,    0.953,    0.986,    1.002,    0.922,    1.094,    1.017,    0.864,    0.512,    0.514,    0.173,    0.884,    0.904,    0.711,    0.859,    0.917,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     179,          2.966667,    0.601,    0.712,    0.931,    0.786,    0.948,    0.981,    0.997,    0.917,    1.089,    1.012,    0.860,    0.510,    0.512,    0.309,    0.880,    0.899,    0.708,    0.855,    0.912,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     180,          2.983334,    0.598,    0.709,    0.926,    0.781,    0.943,    0.976,    0.992,    0.913,    1.084,    1.007,    0.856,    0.508,    0.510,    0.309,    0.875,    0.895,    0.705,    0.851,    0.908,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
     181,          3.000000,    0.595,    0.706,    0.921,    0.777,    0.938,    0.971,    0.987,    0.908,    1.079,    1.002,    0.851,    0.506,    0.508,    0.310,    0.871,    0.891,    0.702,    0.846,    0.903,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
