"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","Entry LC Pipe0 [M05_5m_001]","Additional LC Pipe0 [M05_5m_001]","Exit LC Pipe0 [M05_5m_001]","Entry LC Pipe1 [M05_5m_001]","Additional LC Pipe1 [M05_5m_001]","Exit LC Pipe1 [M05_5m_001]","Entry LC Pipe10 [M05_5m_001]","Additional LC Pipe10 [M05_5m_001]","Exit LC Pipe10 [M05_5m_001]","Entry LC Pipe11 [M05_5m_001]","Additional LC Pipe11 [M05_5m_001]","Exit LC Pipe11 [M05_5m_001]","Entry LC Pipe12 [M05_5m_001]","Additional LC Pipe12 [M05_5m_001]","Exit LC Pipe12 [M05_5m_001]","Entry LC Pipe13 [M05_5m_001]","Additional LC Pipe13 [M05_5m_001]","Exit LC Pipe13 [M05_5m_001]","Entry LC Pipe14 [M05_5m_001]","Additional LC Pipe14 [M05_5m_001]","Exit LC Pipe14 [M05_5m_001]","Entry LC Pipe15 [M05_5m_001]","Additional LC Pipe15 [M05_5m_001]","Exit LC Pipe15 [M05_5m_001]","Entry LC Pipe16 [M05_5m_001]","Additional LC Pipe16 [M05_5m_001]","Exit LC Pipe16 [M05_5m_001]","Entry LC Pipe17 [M05_5m_001]","Additional LC Pipe17 [M05_5m_001]","Exit LC Pipe17 [M05_5m_001]","Entry LC Pipe19 [M05_5m_001]","Additional LC Pipe19 [M05_5m_001]","Exit LC Pipe19 [M05_5m_001]","Entry LC Pipe2 [M05_5m_001]","Additional LC Pipe2 [M05_5m_001]","Exit LC Pipe2 [M05_5m_001]","Entry LC Pipe3 [M05_5m_001]","Additional LC Pipe3 [M05_5m_001]","Exit LC Pipe3 [M05_5m_001]","Entry LC Pipe4 [M05_5m_001]","Additional LC Pipe4 [M05_5m_001]","Exit LC Pipe4 [M05_5m_001]","Entry LC Pipe5 [M05_5m_001]","Additional LC Pipe5 [M05_5m_001]","Exit LC Pipe5 [M05_5m_001]","Entry LC Pipe6 [M05_5m_001]","Additional LC Pipe6 [M05_5m_001]","Exit LC Pipe6 [M05_5m_001]","Entry LC Pipe7 [M05_5m_001]","Additional LC Pipe7 [M05_5m_001]","Exit LC Pipe7 [M05_5m_001]","Entry LC Pipe8 [M05_5m_001]","Additional LC Pipe8 [M05_5m_001]","Exit LC Pipe8 [M05_5m_001]","Entry LC Pipe9 [M05_5m_001]","Additional LC Pipe9 [M05_5m_001]","Exit LC Pipe9 [M05_5m_001]","LC Pit1 [M05_5m_001]","LC Pit10 [M05_5m_001]","LC Pit11 [M05_5m_001]","LC Pit12 [M05_5m_001]","LC Pit13 [M05_5m_001]","LC Pit14 [M05_5m_001]","LC Pit15 [M05_5m_001]","LC Pit16 [M05_5m_001]","LC Pit17 [M05_5m_001]","LC Pit18 [M05_5m_001]","LC Pit19 [M05_5m_001]","LC Pit2 [M05_5m_001]","LC Pit3 [M05_5m_001]","LC Pit4 [M05_5m_001]","LC Pit5 [M05_5m_001]","LC Pit6 [M05_5m_001]","LC Pit7 [M05_5m_001]","LC Pit8 [M05_5m_001]","LC Pit9 [M05_5m_001]"
      74,          1.216667,0.50,0.00,0.36,0.22,0.00,0.34,0.17,0.00,0.52,0.20,0.00,0.46,0.17,0.00,0.55,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.36,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.04,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.41,0.23,0.00,0.47,0.21,0.49,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      75,          1.233333,0.50,0.00,0.37,0.22,0.00,0.34,0.17,0.00,0.53,0.20,0.00,0.46,0.17,0.00,0.55,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.37,0.22,0.00,0.04,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.41,0.23,0.00,0.49,0.21,0.51,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      76,          1.250000,0.50,0.00,0.38,0.22,0.00,0.35,0.17,0.00,0.51,0.20,0.00,0.46,0.18,0.00,0.57,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.03,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.49,0.21,0.51,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      77,          1.266667,0.50,0.00,0.39,0.22,0.00,0.36,0.17,0.00,0.53,0.20,0.00,0.46,0.17,0.00,0.56,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.36,0.22,0.00,0.03,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.48,0.21,0.51,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      78,          1.283333,0.50,0.00,0.39,0.22,0.00,0.36,0.16,0.00,0.55,0.21,0.00,0.46,0.19,0.00,0.63,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.39,0.23,0.00,0.49,0.21,0.52,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      79,          1.300000,0.50,0.00,0.39,0.22,0.00,0.36,0.17,0.00,0.52,0.20,0.00,0.47,0.18,0.00,0.58,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.39,0.23,0.00,0.48,0.21,0.52,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      80,          1.316667,0.50,0.00,0.39,0.22,0.00,0.37,0.16,0.00,0.52,0.21,0.00,0.47,0.18,0.00,0.60,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.48,0.21,0.52,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      81,          1.333333,0.50,0.00,0.40,0.22,0.00,0.37,0.16,0.00,0.53,0.21,0.00,0.47,0.19,0.00,0.62,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.40,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.48,0.21,0.52,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      82,          1.350000,0.50,0.00,0.40,0.22,0.00,0.37,0.17,0.00,0.53,0.20,0.00,0.47,0.18,0.00,0.60,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.41,0.20,0.08,1.00,0.23,0.00,0.37,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.52,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      83,          1.366667,0.50,0.00,0.40,0.22,0.00,0.37,0.17,0.00,0.54,0.20,0.00,0.47,0.18,0.00,0.62,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.41,0.20,0.08,1.00,0.23,0.00,0.38,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.35,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.52,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      84,          1.383333,0.50,0.00,0.39,0.22,0.00,0.36,0.17,0.00,0.54,0.20,0.00,0.47,0.18,0.00,0.62,0.22,0.39,0.39,0.22,0.00,0.28,0.23,0.08,0.41,0.20,0.08,1.00,0.23,0.00,0.38,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.53,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      85,          1.400000,0.50,0.00,0.39,0.22,0.00,0.36,0.17,0.00,0.54,0.20,0.00,0.47,0.18,0.00,0.62,0.22,0.40,0.39,0.22,0.00,0.28,0.23,0.08,0.41,0.20,0.08,1.00,0.23,0.00,0.38,0.21,0.77,0.63,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.02,0.19,0.00,0.42,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.53,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      86,          1.416667,0.50,0.00,0.38,0.22,0.00,0.36,0.18,0.00,0.54,0.20,0.00,0.47,0.17,0.00,0.62,0.21,0.40,0.39,0.22,0.00,0.28,0.23,0.08,0.42,0.20,0.08,1.00,0.23,0.00,0.38,0.21,0.76,0.63,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.02,0.19,0.00,0.43,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.53,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      87,          1.433333,0.50,0.00,0.36,0.22,0.00,0.35,0.18,0.00,0.55,0.20,0.00,0.48,0.17,0.00,0.63,0.21,0.40,0.39,0.22,0.00,0.29,0.23,0.08,0.42,0.20,0.08,1.00,0.23,0.00,0.39,0.21,0.76,0.62,0.50,0.00,0.00,0.50,0.00,0.33,0.22,0.00,0.03,0.20,0.00,0.43,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.54,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      88,          1.450000,0.50,0.00,0.35,0.22,0.00,0.34,0.18,0.00,0.56,0.20,0.00,0.48,0.17,0.00,0.63,0.21,0.40,0.39,0.22,0.00,0.29,0.23,0.08,0.42,0.20,0.08,1.00,0.23,0.00,0.39,0.21,0.76,0.62,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.03,0.20,0.00,0.44,0.22,0.00,0.27,0.50,0.00,0.40,0.23,0.00,0.47,0.21,0.54,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      89,          1.466667,0.50,0.00,0.35,0.22,0.00,0.34,0.18,0.00,0.59,0.20,0.00,0.48,0.17,0.00,0.64,0.21,0.41,0.39,0.22,0.00,0.29,0.23,0.08,0.43,0.20,0.08,1.00,0.23,0.00,0.39,0.21,0.75,0.61,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.03,0.20,0.00,0.45,0.22,0.00,0.27,0.50,0.00,0.42,0.22,0.00,0.47,0.21,0.54,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      90,          1.483333,0.50,0.00,0.35,0.22,0.00,0.34,0.18,0.00,0.60,0.19,0.00,0.48,0.17,0.00,0.64,0.21,0.41,0.39,0.22,0.00,0.29,0.23,0.08,0.43,0.19,0.08,1.00,0.23,0.00,0.40,0.21,0.75,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.03,0.20,0.00,0.46,0.22,0.00,0.27,0.50,0.00,0.36,0.22,0.00,0.48,0.21,0.55,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      91,          1.500000,0.50,0.00,0.35,0.22,0.00,0.34,0.19,0.00,0.62,0.19,0.00,0.49,0.17,0.00,0.63,0.21,0.41,0.40,0.22,0.00,0.29,0.23,0.08,0.43,0.19,0.08,1.00,0.23,0.00,0.40,0.21,0.76,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.03,0.20,0.00,0.45,0.22,0.00,0.27,0.50,0.00,0.34,0.22,0.00,0.49,0.21,0.56,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      92,          1.516667,0.50,0.00,0.35,0.22,0.00,0.34,0.19,0.00,0.62,0.19,0.00,0.49,0.17,0.00,0.62,0.21,0.42,0.40,0.22,0.00,0.29,0.23,0.08,0.44,0.19,0.08,1.00,0.23,0.00,0.41,0.21,0.75,0.60,0.50,0.00,0.00,0.50,0.00,0.34,0.22,0.00,0.03,0.20,0.00,0.45,0.22,0.00,0.27,0.50,0.00,0.33,0.22,0.00,0.49,0.21,0.57,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      93,          1.533333,0.50,0.00,0.35,0.22,0.00,0.34,0.19,0.00,0.62,0.19,0.00,0.50,0.17,0.00,0.62,0.21,0.42,0.40,0.22,0.00,0.29,0.23,0.08,0.44,0.19,0.08,1.00,0.23,0.00,0.42,0.21,0.75,0.60,0.50,0.00,0.00,0.50,0.00,0.33,0.22,0.00,0.03,0.20,0.00,0.43,0.22,0.00,0.29,0.50,0.00,0.33,0.22,0.00,0.50,0.21,0.57,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      94,          1.550000,0.50,0.00,0.34,0.22,0.00,0.34,0.20,0.00,0.62,0.19,0.00,0.50,0.17,0.00,0.63,0.21,0.42,0.39,0.22,0.00,0.29,0.22,0.09,0.44,0.19,0.09,1.00,0.23,0.00,0.44,0.21,0.75,0.60,0.50,0.00,0.00,0.50,0.00,0.33,0.22,0.00,0.03,0.20,0.00,0.41,0.22,0.00,0.33,0.50,0.00,0.31,0.23,0.00,0.51,0.21,0.58,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      95,          1.566667,0.50,0.00,0.34,0.22,0.00,0.33,0.20,0.00,0.62,0.19,0.00,0.50,0.17,0.00,0.62,0.21,0.42,0.39,0.22,0.00,0.30,0.22,0.09,0.42,0.19,0.09,1.00,0.23,0.00,0.47,0.21,0.76,0.59,0.50,0.00,0.00,0.50,0.00,0.32,0.22,0.00,0.05,0.20,0.00,0.49,0.21,0.00,0.34,0.50,0.00,0.29,0.23,0.00,0.52,0.21,0.59,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      96,          1.583333,0.50,0.00,0.34,0.22,0.00,0.32,0.20,0.00,0.62,0.19,0.00,0.49,0.17,0.00,0.62,0.21,0.41,0.36,0.22,0.00,0.36,0.22,0.09,0.39,0.19,0.10,1.00,0.22,0.00,0.51,0.21,0.76,0.59,0.50,0.00,0.00,0.50,0.00,0.31,0.23,0.00,0.06,0.20,0.00,0.55,0.21,0.00,0.34,0.50,0.00,0.29,0.23,0.00,0.53,0.21,0.60,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      97,          1.600000,0.50,0.00,0.22,0.22,0.00,0.22,0.20,0.00,0.62,0.19,0.00,0.48,0.18,0.00,0.62,0.21,0.41,0.34,0.22,0.00,0.42,0.22,0.10,0.35,0.19,0.11,1.00,0.22,0.00,0.55,0.20,0.79,0.59,0.50,0.00,0.00,0.50,0.00,0.36,0.21,0.00,0.11,0.20,0.00,0.59,0.20,0.00,0.37,0.50,0.00,0.30,0.23,0.00,0.53,0.20,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      98,          1.616667,0.50,0.00,0.08,0.21,0.00,0.11,0.20,0.00,0.62,0.19,0.00,0.48,0.18,0.00,0.62,0.21,0.40,0.33,0.22,0.00,0.46,0.21,0.11,0.33,0.19,0.12,1.00,0.22,0.00,0.58,0.19,0.80,0.52,0.50,0.00,0.00,0.50,0.00,0.27,0.20,0.00,0.05,0.19,0.00,0.55,0.19,0.00,0.36,0.50,0.00,0.30,0.23,0.00,0.53,0.20,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      99,          1.633333,0.50,0.00,0.02,0.20,0.00,0.07,0.20,0.00,0.62,0.19,0.00,0.47,0.19,0.00,0.63,0.22,0.40,0.31,0.23,0.00,0.50,0.20,0.12,0.31,0.18,0.13,1.00,0.21,0.00,0.60,0.18,0.80,0.44,0.50,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.18,0.00,0.47,0.18,0.00,0.33,0.50,0.00,0.31,0.23,0.00,0.53,0.20,0.61,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     100,          1.650000,0.50,0.00,0.01,0.19,0.00,0.01,0.20,0.00,0.62,0.19,0.00,0.45,0.19,0.00,0.62,0.22,0.37,0.38,0.22,0.00,0.53,0.18,0.14,0.31,0.18,0.13,1.00,0.21,0.00,0.62,0.17,0.74,0.36,0.50,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.16,0.00,0.40,0.17,0.00,0.30,0.50,0.00,0.31,0.23,0.00,0.53,0.20,0.61,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     101,          1.666667,0.50,0.00,0.02,0.19,0.00,0.01,0.20,0.00,0.62,0.20,0.00,0.42,0.20,0.00,0.62,0.22,0.35,0.45,0.22,0.00,0.55,0.00,0.00,0.00,0.17,0.14,1.00,0.21,0.00,0.61,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.16,0.00,0.34,0.16,0.00,0.31,0.50,0.00,0.31,0.23,0.00,0.53,0.20,0.61,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     102,          1.683333,0.00,0.00,0.00,0.19,0.00,0.02,0.20,0.00,0.61,0.20,0.00,0.40,0.20,0.00,0.61,0.22,0.34,0.50,0.21,0.00,0.57,0.00,0.00,0.00,0.17,0.15,1.00,0.20,0.00,0.60,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.32,0.50,0.00,0.31,0.23,0.00,0.53,0.20,0.61,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     103,          1.700000,0.00,0.00,0.00,0.18,0.00,0.03,0.20,0.00,0.60,0.21,0.00,0.44,0.20,0.00,0.55,0.22,0.37,0.54,0.21,0.00,0.59,0.00,0.00,0.00,0.16,0.15,1.00,0.20,0.00,0.59,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.33,0.50,0.00,0.31,0.23,0.00,0.53,0.20,0.61,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     104,          1.716667,0.00,0.00,0.00,0.18,0.00,0.04,0.20,0.00,0.59,0.20,0.00,0.50,0.20,0.00,0.57,0.21,0.42,0.57,0.21,0.00,0.50,0.00,0.00,0.00,0.15,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.34,0.50,0.00,0.30,0.23,0.00,0.51,0.21,0.61,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     105,          1.733333,0.00,0.00,0.00,0.18,0.00,0.04,0.20,0.00,0.60,0.20,0.00,0.51,0.20,0.00,0.59,0.21,0.45,0.50,0.19,0.00,0.44,0.00,0.00,0.00,0.16,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.50,0.00,0.23,0.22,0.00,0.48,0.20,0.61,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     106,          1.750000,0.00,0.00,0.00,0.18,0.00,0.04,0.18,0.00,0.50,0.19,0.00,0.43,0.19,0.00,0.52,0.19,0.49,0.43,0.18,0.00,0.39,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.50,0.00,0.12,0.21,0.00,0.34,0.18,0.64,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     107,          1.766667,0.00,0.00,0.00,0.18,0.00,0.04,0.16,0.00,0.42,0.18,0.00,0.38,0.17,0.00,0.46,0.18,0.52,0.37,0.17,0.00,0.37,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.20,0.00,0.23,0.16,0.61,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     108,          1.783333,0.00,0.00,0.00,0.18,0.00,0.04,0.16,0.00,0.36,0.17,0.00,0.35,0.16,0.00,0.42,0.17,0.54,0.36,0.16,0.00,0.37,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.20,0.00,0.19,0.16,0.58,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     109,          1.800000,0.00,0.00,0.00,0.18,0.00,0.04,0.15,0.00,0.33,0.17,0.00,0.33,0.16,0.00,0.39,0.17,0.54,0.35,0.16,0.00,0.36,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.20,0.00,0.22,0.16,0.57,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     110,          1.816667,0.00,0.00,0.00,0.18,0.00,0.04,0.00,0.00,0.00,0.16,0.00,0.32,0.15,0.00,0.35,0.17,0.54,0.35,0.16,0.00,0.36,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     111,          1.833333,0.00,0.00,0.00,0.18,0.00,0.04,0.00,0.00,0.00,0.16,0.00,0.32,0.14,0.00,0.33,0.17,0.54,0.35,0.16,0.00,0.35,0.00,0.00,0.00,0.16,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
     112,          1.850000,0.00,0.00,0.00,0.18,0.00,0.04,0.00,0.00,0.00,0.16,0.00,0.32,0.00,0.00,0.00,0.17,0.55,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
